Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Learning Rate,Epoch Time(s)
138,0.006102,0.321387,0.998960,0.926800,0.001000,16.5
139,0.007278,0.320772,0.998360,0.926100,0.001000,16.4
140,0.006658,0.321540,0.998540,0.927500,0.001000,16.2
141,0.006950,0.324075,0.998520,0.926100,0.001000,11.3
142,0.006552,0.325628,0.998620,0.927000,0.001000,15.9
143,0.005927,0.322591,0.998860,0.926700,0.001000,16.2
144,0.006514,0.324883,0.998780,0.927100,0.001000,16.1
145,0.006546,0.324218,0.998720,0.926600,0.001000,16.3
146,0.006239,0.322505,0.998780,0.926000,0.001000,16.3
147,0.005961,0.323459,0.998860,0.927400,0.001000,16.3
148,0.006164,0.323110,0.999000,0.927400,0.001000,16.2
149,0.006247,0.321097,0.998820,0.927100,0.001000,16.2
150,0.005682,0.319233,0.999140,0.927400,0.001000,16.0
151,0.005909,0.323030,0.999020,0.927800,0.001000,16.2
152,0.006251,0.322054,0.998700,0.928000,0.001000,16.2
153,0.006037,0.323359,0.998820,0.927100,0.001000,14.8
154,0.006295,0.321652,0.998860,0.926900,0.001000,13.5
155,0.006006,0.325050,0.998760,0.926800,0.001000,14.0
156,0.005833,0.329090,0.999100,0.926900,0.001000,14.2
157,0.005439,0.324013,0.999200,0.927300,0.001000,16.3
158,0.005774,0.323968,0.998960,0.927100,0.001000,16.1
159,0.006089,0.322999,0.998920,0.927900,0.001000,16.2
160,0.006051,0.322550,0.998840,0.927100,0.001000,16.2
161,0.005806,0.320302,0.998820,0.926900,0.001000,16.1
162,0.005842,0.326155,0.998920,0.927300,0.001000,15.1
163,0.005908,0.323742,0.998900,0.928400,0.001000,16.1
164,0.005535,0.327564,0.998880,0.927500,0.001000,16.3
